,0
12-13,0.10404975
51-52,0.08999992
46-55,0.08854863
26-66,0.07969893
52-76,0.057286073
5-85,0.055855628
46-53,0.050560866
53-55,0.050289974
38-77,0.049493436
54-58,0.041516863
37-54,0.04081784
58-90,0.03960635
26-62,0.037215713
53-84,0.036983203
26-64,0.033705108
7-46,0.032428302
63-111,0.03048477
54-88,0.030417368
12-83,0.028483903
53-57,0.022557402
