,0
12-13,0.111800335
46-55,0.082495995
67-99,0.07641694
52-76,0.07560667
97-108,0.065866426
53-55,0.05658277
51-52,0.05427745
46-53,0.04893228
55-90,0.044891644
9-16,0.041496724
26-63,0.040551614
15-16,0.039056756
21-37,0.037658755
26-66,0.03452037
58-90,0.03400534
7-46,0.033555385
12-83,0.033135332
26-62,0.032566234
54-88,0.029609364
26-64,0.026973682
